Connection,Length (km),Bandwidth (Mbps),Equipment,Protection,Power Consumption (W)
"Blayney Shire - Orange, City of",32.55,25504.5,"Carrier-grade router, WDM",1:1 Path Protection,7667.62
"Blue Mountains, City of - Lithgow, City of",33.05,49481.5,"Carrier-grade router, WDM",1:1 Path Protection,14860.97
"Blue Mountains, City of - Penrith, City of",27.82,147892.5,"Carrier-grade router, WDM",1:1 Path Protection,44381.66
"Burwood Council - Canada Bay, City of",2.27,64697.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,19410.23
"Burwood Council - Canterbury-Bankstown, City of",8.14,205611.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,61687.52
Burwood Council - Georges River Council,10.01,96245.5,"Carrier-grade router, WDM",1:1 Path Protection,28878.65
"Burwood Council - Hunter's Hill, Municipality of",6.68,26888.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,8069.74
Burwood Council - Inner West Council,4.83,111517.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,33457.67
"Burwood Council - Lane Cove, Municipality of",9.56,39827.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,11953.03
"Burwood Council - Ryde, City of",7.93,84670.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,25404.97
"Burwood Council - Strathfield, Municipality of",1.76,42905.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,12872.38
"Burwood Council - Sydney, City of",9.99,125924.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,37782.35
"Byron Shire - Lismore, City of",31.21,40225.0,"Carrier-grade router, WDM",1:1 Path Protection,12083.10
"Cabonne Shire - Orange, City of",32.98,28639.0,"Carrier-grade router, WDM",1:1 Path Protection,8608.19
"Camden Council - Campbelltown, City of",10.68,147922.0,"Carrier-grade router, WDM",1:1 Path Protection,44381.94
"Camden Council - Canterbury-Bankstown, City of",34.36,245165.5,"Carrier-grade router, WDM",1:1 Path Protection,73566.83
"Camden Council - Fairfield, City of",31.79,163900.0,"Carrier-grade router, WDM",1:1 Path Protection,49185.89
"Camden Council - Liverpool, City of",25.25,176385.5,"Carrier-grade router, WDM",1:1 Path Protection,52928.28
"Camden Council - Penrith, City of",34.98,168494.5,"Carrier-grade router, WDM",1:1 Path Protection,50565.84
Camden Council - Sutherland Shire,28.05,174768.0,"Carrier-grade router, WDM",1:1 Path Protection,52444.43
Camden Council - Wollondilly Shire,22.63,86643.0,"Carrier-grade router, WDM",1:1 Path Protection,26004.21
"Campbelltown, City of - Canterbury-Bankstown, City of",25.59,273762.5,"Carrier-grade router, WDM",1:1 Path Protection,82141.54
"Campbelltown, City of - Cumberland City Council",29.94,205979.0,"Carrier-grade router, WDM",1:1 Path Protection,61808.67
"Campbelltown, City of - Fairfield, City of",25.33,192497.0,"Carrier-grade router, WDM",1:1 Path Protection,57761.76
"Campbelltown, City of - Georges River Council",27.48,164396.5,"Carrier-grade router, WDM",1:1 Path Protection,49332.69
"Campbelltown, City of - Liverpool, City of",18.51,204982.5,"Carrier-grade router, WDM",1:1 Path Protection,61504.00
"Campbelltown, City of - Parramatta Council, City of",33.29,216624.0,"Carrier-grade router, WDM",1:1 Path Protection,65003.84
"Campbelltown, City of - Strathfield, Municipality of",32.47,111056.0,"Carrier-grade router, WDM",1:1 Path Protection,33333.03
"Campbelltown, City of - Sutherland Shire",17.37,203365.0,"Carrier-grade router, WDM",1:1 Path Protection,61018.18
"Campbelltown, City of - Wollondilly Shire",33.27,115240.0,"Carrier-grade router, WDM",1:1 Path Protection,34588.64
"Canada Bay, City of - Hunter's Hill, Municipality of",4.42,51368.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,15412.61
"Canada Bay, City of - Inner West Council",4.74,135997.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,40801.62
"Canada Bay, City of - Lane Cove, Municipality of",7.31,64307.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,19295.90
"Canada Bay, City of - North Sydney Council",9.1,79063.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,23723.60
"Canada Bay, City of - Ryde, City of",5.96,109150.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,32747.98
"Canada Bay, City of - Strathfield, Municipality of",3.42,67385.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,20217.21
"Canada Bay, City of - Sydney, City of",8.68,150404.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,45125.69
"Canada Bay, City of - Willoughby, City of",10.14,82395.0,"Carrier-grade router, WDM",1:1 Path Protection,24723.57
"Canterbury-Bankstown, City of - Cumberland City Council",9.84,303222.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,90971.67
"Canterbury-Bankstown, City of - Fairfield, City of",9.18,289740.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,86926.74
"Canterbury-Bankstown, City of - Georges River Council",7.46,261640.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,78495.73
"Canterbury-Bankstown, City of - Hunter's Hill, Municipality of",14.59,192282.5,"Carrier-grade router, WDM",1:1 Path Protection,57692.04
"Canterbury-Bankstown, City of - Inner West Council",11.82,276912.0,"Carrier-grade router, WDM",1:1 Path Protection,83079.51
"Canterbury-Bankstown, City of - Liverpool, City of",10.81,302226.0,"Carrier-grade router, WDM",1:1 Path Protection,90673.21
"Canterbury-Bankstown, City of - Parramatta Council, City of",12.49,313867.5,"Carrier-grade router, WDM",1:1 Path Protection,94166.49
"Canterbury-Bankstown, City of - Ryde, City of",14.63,250064.5,"Carrier-grade router, WDM",1:1 Path Protection,75026.66
"Canterbury-Bankstown, City of - Strathfield, Municipality of",6.9,208299.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,62493.30
Carrathool Shire - Murrumbidgee Council,29.38,3109.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,947.54
Central Coast Council - Northern Beaches Council,30.23,305075.0,"Carrier-grade router, WDM",1:1 Path Protection,91537.62
"Cessnock, City of - Lake Macquarie, City of",33.15,138738.5,"Carrier-grade router, WDM",1:1 Path Protection,41638.12
"Cessnock, City of - Maitland, City of",21.44,76929.0,"Carrier-grade router, WDM",1:1 Path Protection,23089.42
"Cessnock, City of - Singleton Council",33.74,44104.5,"Carrier-grade router, WDM",1:1 Path Protection,13248.22
"Cumberland City Council - Fairfield, City of",4.75,221957.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,66589.47
"Cumberland City Council - Hills Shire, The",9.0,213657.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,64101.75
"Cumberland City Council - Hunter's Hill, Municipality of",14.21,124499.0,"Carrier-grade router, WDM",1:1 Path Protection,37356.81
Cumberland City Council - Inner West Council,16.06,209128.5,"Carrier-grade router, WDM",1:1 Path Protection,62746.58
"Cumberland City Council - Lane Cove, Municipality of",16.54,137438.5,"Carrier-grade router, WDM",1:1 Path Protection,41239.82
"Cumberland City Council - Liverpool, City of",11.51,234442.5,"Carrier-grade router, WDM",1:1 Path Protection,70338.51
"Cumberland City Council - Parramatta Council, City of",3.4,246084.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,73826.90
"Cumberland City Council - Ryde, City of",11.7,182281.0,"Carrier-grade router, WDM",1:1 Path Protection,54690.15
"Cumberland City Council - Strathfield, Municipality of",9.6,140516.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,42159.60
Dubbo Regional Council - Narromine Shire,34.46,30641.0,"Carrier-grade router, WDM",1:1 Path Protection,9209.53
"Fairfield, City of - Georges River Council",16.63,180374.5,"Carrier-grade router, WDM",1:1 Path Protection,54120.67
"Fairfield, City of - Hills Shire, The",13.09,200175.5,"Carrier-grade router, WDM",1:1 Path Protection,60059.19
"Fairfield, City of - Hunter's Hill, Municipality of",18.11,111017.0,"Carrier-grade router, WDM",1:1 Path Protection,33314.15
"Fairfield, City of - Liverpool, City of",6.83,220960.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,66291.56
"Fairfield, City of - Parramatta Council, City of",7.98,232602.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,69784.59
"Fairfield, City of - Ryde, City of",16.08,168799.0,"Carrier-grade router, WDM",1:1 Path Protection,50647.74
"Fairfield, City of - Strathfield, Municipality of",12.05,127034.0,"Carrier-grade router, WDM",1:1 Path Protection,38116.22
Forbes Shire - Parkes Shire,30.85,11840.0,"Carrier-grade router, WDM",1:1 Path Protection,3567.43
"Georges River Council - Hunter's Hill, Municipality of",16.24,82916.5,"Carrier-grade router, WDM",1:1 Path Protection,24883.07
Georges River Council - Inner West Council,10.53,167546.0,"Carrier-grade router, WDM",1:1 Path Protection,50269.06
"Georges River Council - Randwick, City of",15.82,143263.0,"Carrier-grade router, WDM",1:1 Path Protection,42986.81
"Georges River Council - Strathfield, Municipality of",10.11,98933.5,"Carrier-grade router, WDM",1:1 Path Protection,29685.10
Georges River Council - Sutherland Shire,14.46,191242.5,"Carrier-grade router, WDM",1:1 Path Protection,57379.98
"Georges River Council - Sydney, City of",16.12,181953.0,"Carrier-grade router, WDM",1:1 Path Protection,54593.96
"Hills Shire, The - Hornsby Shire",10.51,171843.5,"Carrier-grade router, WDM",1:1 Path Protection,51558.30
"Hills Shire, The - Hunter's Hill, Municipality of",15.07,102717.5,"Carrier-grade router, WDM",1:1 Path Protection,30822.78
"Hills Shire, The - Ku-ring-gai Council",13.26,157976.0,"Carrier-grade router, WDM",1:1 Path Protection,47399.43
"Hills Shire, The - Lane Cove, Municipality of",16.04,115657.0,"Carrier-grade router, WDM",1:1 Path Protection,34705.12
"Hills Shire, The - Parramatta Council, City of",5.77,224302.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,67293.63
"Hills Shire, The - Ryde, City of",11.28,160499.5,"Carrier-grade router, WDM",1:1 Path Protection,48155.49
"Hills Shire, The - Strathfield, Municipality of",15.05,118734.5,"Carrier-grade router, WDM",1:1 Path Protection,35627.88
"Hornsby Shire - Hunter's Hill, Municipality of",15.6,82685.0,"Carrier-grade router, WDM",1:1 Path Protection,24813.30
Hornsby Shire - Ku-ring-gai Council,6.06,137943.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,41386.08
"Hornsby Shire - Lane Cove, Municipality of",14.56,95624.5,"Carrier-grade router, WDM",1:1 Path Protection,28694.63
Hornsby Shire - Mosman Council,19.9,90070.0,"Carrier-grade router, WDM",1:1 Path Protection,27030.95
Hornsby Shire - Northern Beaches Council,18.23,207682.5,"Carrier-grade router, WDM",1:1 Path Protection,62313.86
Hornsby Shire - North Sydney Council,18.51,110380.5,"Carrier-grade router, WDM",1:1 Path Protection,33123.40
"Hornsby Shire - Parramatta Council, City of",14.95,204270.0,"Carrier-grade router, WDM",1:1 Path Protection,61288.47
"Hornsby Shire - Ryde, City of",12.53,140467.0,"Carrier-grade router, WDM",1:1 Path Protection,42146.36
"Hornsby Shire - Willoughby, City of",15.38,113712.0,"Carrier-grade router, WDM",1:1 Path Protection,34121.29
"Hunter's Hill, Municipality of - Inner West Council",6.8,98188.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,29459.95
"Hunter's Hill, Municipality of - Lane Cove, Municipality of",2.92,26498.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,7951.01
"Hunter's Hill, Municipality of - Mosman Council",8.98,20944.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,6287.69
"Hunter's Hill, Municipality of - North Sydney Council",5.85,41254.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,12379.27
"Hunter's Hill, Municipality of - Ryde, City of",3.84,71341.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,21404.22
"Hunter's Hill, Municipality of - Strathfield, Municipality of",7.69,29576.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,8876.64
"Hunter's Hill, Municipality of - Sydney, City of",7.12,112595.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,33782.21
"Hunter's Hill, Municipality of - Willoughby, City of",5.9,44586.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,13378.75
"Inner West Council - Lane Cove, Municipality of",8.87,111128.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,33342.83
Inner West Council - North Sydney Council,8.2,125884.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,37769.30
"Inner West Council - Randwick, City of",8.43,158535.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,47564.71
"Inner West Council - Strathfield, Municipality of",6.57,114205.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,34264.94
"Inner West Council - Sydney, City of",5.97,197225.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,59170.49
"Inner West Council - Woollahra, Municipality of",8.24,118157.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,35451.22
"Junee Shire - Wagga Wagga, City of",33.67,37012.0,"Carrier-grade router, WDM",1:1 Path Protection,11120.43
"Kiama, Municipality of - Shellharbour, City of",10.52,49672.5,"Carrier-grade router, WDM",1:1 Path Protection,14907.01
"Kiama, Municipality of - Wollongong, City of",27.37,118819.0,"Carrier-grade router, WDM",1:1 Path Protection,35659.38
"Ku-ring-gai Council - Lane Cove, Municipality of",9.44,81757.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,24531.82
Ku-ring-gai Council - Mosman Council,13.97,76202.5,"Carrier-grade router, WDM",1:1 Path Protection,22867.74
Ku-ring-gai Council - Northern Beaches Council,13.96,193815.0,"Carrier-grade router, WDM",1:1 Path Protection,58151.48
Ku-ring-gai Council - North Sydney Council,12.91,96513.0,"Carrier-grade router, WDM",1:1 Path Protection,28960.35
"Ku-ring-gai Council - Parramatta Council, City of",15.75,190402.5,"Carrier-grade router, WDM",1:1 Path Protection,57128.62
"Ku-ring-gai Council - Ryde, City of",9.31,126599.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,37984.50
"Ku-ring-gai Council - Sydney, City of",16.22,167854.0,"Carrier-grade router, WDM",1:1 Path Protection,50364.31
"Ku-ring-gai Council - Willoughby, City of",9.6,99844.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,29958.15
"Kyogle Council - Lismore, City of",33.96,26846.5,"Carrier-grade router, WDM",1:1 Path Protection,8070.93
"Lake Macquarie, City of - Newcastle, City of",24.22,191359.0,"Carrier-grade router, WDM",1:1 Path Protection,57419.81
"Lane Cove, Municipality of - Mosman Council",7.04,33883.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,10168.57
"Lane Cove, Municipality of - North Sydney Council",4.4,54194.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,16260.40
"Lane Cove, Municipality of - Ryde, City of",5.09,84280.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,25286.69
"Lane Cove, Municipality of - Sydney, City of",7.04,125535.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,37664.02
"Lane Cove, Municipality of - Willoughby, City of",3.13,57525.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,17259.21
Leeton Shire - Narrandera Shire,29.87,8575.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,2587.43
"Liverpool, City of - Parramatta Council, City of",14.81,245087.5,"Carrier-grade router, WDM",1:1 Path Protection,73533.65
"Liverpool, City of - Ryde, City of",22.15,181284.5,"Carrier-grade router, WDM",1:1 Path Protection,54396.42
"Liverpool, City of - Strathfield, Municipality of",16.42,139519.5,"Carrier-grade router, WDM",1:1 Path Protection,41864.06
"Liverpool, City of - Sutherland Shire",19.21,231828.5,"Carrier-grade router, WDM",1:1 Path Protection,69558.15
"Maitland, City of - Newcastle, City of",30.13,129549.5,"Carrier-grade router, WDM",1:1 Path Protection,38879.92
"Maitland, City of - Port Stephens Council",27.73,82751.0,"Carrier-grade router, WDM",1:1 Path Protection,24839.17
Mosman Council - North Sydney Council,3.23,48639.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,14593.47
"Mosman Council - Randwick, City of",9.07,81290.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,24391.68
"Mosman Council - Ryde, City of",12.1,78726.0,"Carrier-grade router, WDM",1:1 Path Protection,23623.85
"Mosman Council - Sydney, City of",5.25,119980.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,35996.78
Mosman Council - Waverley Council,7.93,48467.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,14544.07
"Mosman Council - Willoughby, City of",4.68,51971.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,15593.64
"Mosman Council - Woollahra, Municipality of",6.2,40912.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,12276.85
"Newcastle, City of - Port Stephens Council",21.8,122074.5,"Carrier-grade router, WDM",1:1 Path Protection,36633.25
Northern Beaches Council - North Sydney Council,17.41,166252.0,"Carrier-grade router, WDM",1:1 Path Protection,49884.31
"Northern Beaches Council - Randwick, City of",24.38,198903.0,"Carrier-grade router, WDM",1:1 Path Protection,59683.09
"Northern Beaches Council - Ryde, City of",20.87,196338.5,"Carrier-grade router, WDM",1:1 Path Protection,58911.98
"Northern Beaches Council - Strathfield, Municipality of",28.06,154573.5,"Carrier-grade router, WDM",1:1 Path Protection,46386.08
"Northern Beaches Council - Sydney, City of",20.61,237593.0,"Carrier-grade router, WDM",1:1 Path Protection,71288.20
Northern Beaches Council - Waverley Council,22.94,166079.5,"Carrier-grade router, WDM",1:1 Path Protection,49835.32
"Northern Beaches Council - Willoughby, City of",14.9,169583.5,"Carrier-grade router, WDM",1:1 Path Protection,50882.50
"Northern Beaches Council - Woollahra, Municipality of",21.57,158525.0,"Carrier-grade router, WDM",1:1 Path Protection,47568.29
"North Sydney Council - Randwick, City of",8.88,101601.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,30484.74
"North Sydney Council - Sydney, City of",3.55,140291.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,42089.07
North Sydney Council - Waverley Council,8.32,68777.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,20637.41
"North Sydney Council - Willoughby, City of",3.43,72281.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,21686.17
"North Sydney Council - Woollahra, Municipality of",6.25,61223.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,18370.02
"Parramatta Council, City of - Ryde, City of",9.88,192926.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,57882.74
"Parramatta Council, City of - Strathfield, Municipality of",10.39,151161.0,"Carrier-grade router, WDM",1:1 Path Protection,45353.49
"Randwick, City of - Strathfield, Municipality of",15.0,89922.5,"Carrier-grade router, WDM",1:1 Path Protection,26984.25
"Randwick, City of - Sydney, City of",5.62,172942.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,51885.41
"Randwick, City of - Waverley Council",1.79,101428.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,30429.44
"Randwick, City of - Willoughby, City of",12.29,104932.5,"Carrier-grade router, WDM",1:1 Path Protection,31485.90
"Randwick, City of - Woollahra, Municipality of",2.88,93874.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,28163.64
"Ryde, City of - Strathfield, Municipality of",8.14,87358.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,26211.47
"Ryde, City of - Sydney, City of",10.95,170377.5,"Carrier-grade router, WDM",1:1 Path Protection,51118.72
"Ryde, City of - Willoughby, City of",8.05,102368.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,30714.42
"Shellharbour, City of - Wollongong, City of",16.85,145417.5,"Carrier-grade router, WDM",1:1 Path Protection,43633.68
Snowy Monaro Regional Council - Snowy Valleys Council,19.29,18278.5,"Carrier-grade router, WDM",1:1 Path Protection,5493.20
"Sutherland Shire - Sydney, City of",30.45,220921.5,"Carrier-grade router, WDM",1:1 Path Protection,66291.68
Sutherland Shire - Waverley Council,30.98,149408.0,"Carrier-grade router, WDM",1:1 Path Protection,44837.89
"Sutherland Shire - Woollahra, Municipality of",31.08,141853.5,"Carrier-grade router, WDM",1:1 Path Protection,42571.59
"Sydney, City of - Waverley Council",5.53,140118.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,42038.31
"Sydney, City of - Willoughby, City of",6.95,143622.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,43090.22
"Sydney, City of - Woollahra, Municipality of",3.5,132564.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,39770.95
"Waverley Council - Willoughby, City of",11.62,72109.0,"Carrier-grade router, WDM",1:1 Path Protection,21638.51
"Waverley Council - Woollahra, Municipality of",2.1,61050.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,18316.20
"Willoughby, City of - Woollahra, Municipality of",9.59,64554.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,19371.14
"Albury, City of - Greater Hume Shire",43.93,33625.0,"Carrier-grade router, WDM",1:1 Path Protection,10109.47
"Albury, City of - Federation Council",72.6,34496.0,"Carrier-grade router, WDM",1:1 Path Protection,10385.10
Armidale Regional Council - Walcha Shire,53.12,16070.0,"Carrier-grade router, WDM",1:1 Path Protection,4847.56
Armidale Regional Council - Tamworth Regional Council,83.6,46097.0,"Carrier-grade router, WDM",1:1 Path Protection,13870.90
Ballina Shire - Richmond Valley Council,56.13,34930.5,"Carrier-grade router, WDM",1:1 Path Protection,10507.22
Ballina Shire - Kyogle Council,56.92,27827.5,"Carrier-grade router, WDM",1:1 Path Protection,8376.71
Balranald Shire - Hay Shire,130.64,2545.0,Single-mode fiber with optical regenerators,APS with signal monitoring,1347.82
Balranald Shire - Wentworth Shire,166.43,4830.5,Single-mode fiber with optical regenerators,APS with signal monitoring,2508.47
Bathurst Region - Blayney Shire,38.85,25532.0,"Carrier-grade router, WDM",1:1 Path Protection,7679.02
"Bathurst Region - Orange, City of",43.68,43539.5,"Carrier-grade router, WDM",1:1 Path Protection,13083.69
Bega Valley Shire - Snowy Monaro Regional Council,79.42,28804.0,"Carrier-grade router, WDM",1:1 Path Protection,8680.91
Bega Valley Shire - Eurobodalla Shire,80.82,38267.5,"Carrier-grade router, WDM",1:1 Path Protection,11520.66
Bellingen Shire - Kempsey Shire,66.9,21970.5,"Carrier-grade router, WDM",1:1 Path Protection,6624.60
Bellingen Shire - Clarence Valley Council,82.67,33684.0,"Carrier-grade router, WDM",1:1 Path Protection,10146.53
Berrigan Shire - Federation Council,48.76,10782.0,"Carrier-grade router, WDM",1:1 Path Protection,3258.98
Berrigan Shire - Lockhart Shire,103.2,5992.0,Single-mode fiber with optical regenerators,APS with signal monitoring,3057.60
Bland Shire - Weddin Shire,36.12,4577.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1391.31
Bland Shire - Temora Shire,53.1,5790.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1763.70
Blayney Shire - Oberon Shire,59.76,6538.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1991.43
Blayney Shire - Cabonne Shire,62.18,10631.5,"Carrier-grade router, WDM",1:1 Path Protection,3220.54
"Blue Mountains, City of - Wollondilly Shire",42.81,66041.0,"Carrier-grade router, WDM",1:1 Path Protection,19833.70
Bogan Shire - Warren Shire,87.81,2508.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,796.45
Bogan Shire - Cobar Shire,103.04,3263.0,Single-mode fiber with optical regenerators,APS with signal monitoring,1693.02
Bourke Shire - Brewarrina Shire,102.58,1848.0,Single-mode fiber with optical regenerators,APS with signal monitoring,985.29
Bourke Shire - Cobar Shire,156.76,3199.5,Single-mode fiber with optical regenerators,APS with signal monitoring,1688.13
Brewarrina Shire - Walgett Shire,111.62,3304.5,Single-mode fiber with optical regenerators,APS with signal monitoring,1718.06
Brewarrina Shire - Coonamble Shire,182.01,2544.0,Single-mode fiber with optical regenerators,APS with signal monitoring,1373.01
"Broken Hill, City of - Unincorporated Far West",156.11,9302.0,Single-mode fiber with optical regenerators,APS with signal monitoring,4739.06
"Broken Hill, City of - Central Darling Shire",192.13,9656.5,Single-mode fiber with optical regenerators,APS with signal monitoring,4934.31
Byron Shire - Tweed Shire,45.4,66754.0,"Carrier-grade router, WDM",1:1 Path Protection,20048.90
Byron Shire - Kyogle Council,46.91,22737.5,"Carrier-grade router, WDM",1:1 Path Protection,6844.70
Cabonne Shire - Parkes Shire,54.24,14063.5,"Carrier-grade router, WDM",1:1 Path Protection,4246.17
Cabonne Shire - Forbes Shire,74.75,11542.5,"Carrier-grade router, WDM",1:1 Path Protection,3500.12
Camden Council - Cumberland City Council,36.53,177382.0,"Carrier-grade router, WDM",1:1 Path Protection,53232.86
Camden Council - Georges River Council,37.4,135799.5,"Carrier-grade router, WDM",1:1 Path Protection,40758.55
Carrathool Shire - Hay Shire,55.05,2874.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,889.72
"Carrathool Shire - Griffith, City of",57.6,14976.0,"Carrier-grade router, WDM",1:1 Path Protection,4521.60
Central Coast Council - Hornsby Shire,38.23,249203.5,"Carrier-grade router, WDM",1:1 Path Protection,74780.17
Central Coast Council - Ku-ring-gai Council,38.59,235336.0,"Carrier-grade router, WDM",1:1 Path Protection,70620.10
